id,artwork_id,engraving_id
41841,163,2
41842,163,4
41843,163,5
41844,163,6
41845,163,8
41846,163,11
41847,163,12
41848,163,15
41849,163,19
41850,166,2
41851,166,4
41852,166,5
41853,166,6
41854,166,8
41855,166,10
41856,166,11
41857,166,12
41858,166,15
41859,166,17
39607,171,3
39608,171,4
39609,171,8
39610,171,15
39611,171,19
59851,172,9
59852,172,15
59853,172,4
59854,172,3
59855,172,19
44236,174,2
44237,174,8
44238,174,14
44239,174,16
44240,174,17
50625,175,8
50626,175,14
50627,175,2
50628,175,19
50629,175,13
47579,176,3
47580,176,4
47581,176,8
47582,176,10
47583,176,15
47584,176,19
46563,177,2
46564,177,4
46565,177,8
46566,177,10
46567,177,11
46568,177,15
46569,177,17
79047,178,8
79048,178,15
79049,178,4
79050,178,2
79051,178,11
79052,178,10
79053,178,3
79054,178,17
50630,180,8
50631,180,15
50632,180,14
50633,180,2
50634,180,19
50635,180,13
39612,181,3
39613,181,4
39614,181,8
39615,181,16
39616,181,19
10895,183,2
10896,183,5
10897,183,8
10898,183,12
10899,183,16
10900,183,19
10901,184,3
10902,184,5
10903,184,8
10904,184,10
10905,184,12
10906,184,16
10907,184,19
74236,185,8
74237,185,15
74238,185,4
74239,185,10
74240,185,3
74241,185,19
61229,187,8
61230,187,15
61231,187,4
61232,187,2
61233,187,17
61234,188,8
61235,188,15
61236,188,4
61237,188,2
61238,188,17
82510,189,8
82511,189,15
82512,189,4
82513,189,2
82514,189,17
62616,190,8
62617,190,15
62618,190,4
62619,190,2
62620,190,17
82515,191,8
82516,191,15
82517,191,4
82518,191,2
82519,191,17
82655,192,8
82656,192,15
82657,192,4
82658,192,3
82659,192,19
82660,193,8
82661,193,6
82662,193,4
82663,193,2
82664,193,19
63712,195,8
63713,195,15
63714,195,4
63715,195,3
63716,195,18
39376,196,3
39377,196,5
39378,196,8
39379,196,15
39393,197,3
39394,197,5
39395,197,8
39396,197,15
39397,198,3
39398,198,5
39399,198,8
39400,198,15
39367,199,3
39368,199,5
39369,199,8
39370,199,15
7808,200,3
7809,200,5
7810,200,8
7811,200,12
7812,200,16
7813,200,19
63717,201,8
63718,201,6
63719,201,15
63720,201,14
63721,201,11
63722,201,3
63723,201,17
63724,201,12
41860,203,2
41861,203,4
41862,203,5
41863,203,6
41864,203,8
41865,203,11
41866,203,12
41867,203,15
41868,203,19
41869,204,2
41870,204,4
41871,204,5
41872,204,6
41873,204,8
41874,204,15
41875,204,19
12496,207,2
12497,207,4
12498,207,5
12499,207,8
12500,207,9
12501,207,16
12502,207,19
47757,208,2
47758,208,6
47759,208,8
47760,208,11
47761,208,12
47762,208,14
47763,208,19
41876,209,2
41877,209,4
41878,209,6
41879,209,8
41880,209,10
41881,209,11
41882,209,12
41883,209,15
41884,209,19
72143,210,7
72144,210,15
72145,210,5
72146,210,3
72147,210,19
8353,211,3
8354,211,5
8355,211,8
8356,211,15
8357,211,19
8358,212,3
8359,212,5
8360,212,8
8361,212,15
8362,212,19
13837,213,2
13838,213,8
13839,213,9
13840,213,10
13841,213,12
13842,213,14
13843,213,16
13844,213,17
13860,214,2
13861,214,4
13862,214,8
13863,214,9
13864,214,10
13865,214,12
13866,214,16
13867,214,17
13853,215,2
13854,215,4
13855,215,8
13856,215,9
13857,215,12
13858,215,16
13859,215,17
13846,216,2
13847,216,4
13848,216,8
13849,216,9
13850,216,12
13851,216,16
13852,216,17
13869,218,2
13870,218,4
13871,218,8
13872,218,9
13873,218,16
13874,218,17
13876,219,2
13877,219,4
13878,219,5
13879,219,8
13880,219,10
13881,219,12
13882,219,16
13883,219,17
13884,220,2
13885,220,4
13886,220,5
13887,220,8
13888,220,9
13889,220,10
13890,220,16
13891,220,17
13897,221,2
13898,221,4
13899,221,5
13900,221,8
13901,221,9
13902,221,10
13903,221,16
13904,221,17
13905,222,2
13906,222,4
13907,222,5
13908,222,8
13909,222,9
13910,222,14
13911,222,16
13912,222,17
13913,223,2
13914,223,8
13915,223,14
13916,223,16
13917,223,17
46937,224,2
46938,224,4
46939,224,8
46940,224,10
46941,224,15
46942,224,17
85052,225,8
85053,225,9
85054,225,6
85055,225,16
85056,225,14
85057,225,1
85058,225,2
85059,225,3
85060,225,19
66263,226,8
66264,226,15
66265,226,14
66266,226,2
66267,226,19
71838,227,8
71839,227,9
71840,227,15
71841,227,4
71842,227,2
71843,227,3
71844,227,17
71845,228,8
71846,228,15
71847,228,4
71848,228,2
71849,228,3
71850,228,17
71851,229,8
71852,229,9
71853,229,15
71854,229,4
71855,229,2
71856,229,3
71857,229,17
71858,230,8
71859,230,15
