id,artwork_id,artwork_symbol_id,nombre,
24764,63,92,Corona,
24765,63,229,Pozo,
24766,63,383,Rosas,
24767,63,251,Sol,
24768,63,201,Nube,
51085,65,22,Aureola ,
51087,65,125,Espada ,
87846,65,185,Manto,
51089,66,325,Halo de luz ,
87848,66,230,Puerta ,
87850,66,185,Manto,
27723,67,61,Cayado / Bastón ,
27724,67,88,Cordero,
27725,67,177,Libro ,
27727,67,311,Cabeza ,
113431,67,14,Árbol ,
51094,68,7,Altar,
51095,68,273,Vela ,
51096,68,93,Corona de espinas,
51098,68,273,Vela ,
87853,68,185,Manto,
111588,68,7,Altar,
74543,69,124,Esfera / mundo ,
74544,69,211,Paloma ,
112184,69,251,Sol,
122555,69,177,Libro ,
51101,70,7,Altar,
51103,70,70,Cilicios,
51104,70,93,Corona de espinas,
51105,70,113,Demonio ,
51108,70,162,Instrumentos de disciplina,
51109,70,325,Halo de luz ,
87860,70,273,Vela ,
110087,70,780,Instrumento de martirio ,
111589,70,7,Altar,
130396,70,113,Demonio ,
130397,70,113,Demonio ,
51111,71,7,Altar,
51112,71,273,Vela ,
51114,71,181,Llave,
51115,71,273,Vela ,
51116,71,113,Demonio ,
87863,71,113,Demonio ,
87864,71,493,Monstruo,
111590,71,7,Altar,
130398,71,113,Demonio ,
130399,71,113,Demonio ,
279,72,77,Clavos,
360,72,86,Corazón ,
605,72,102,Cruz / crucifijo ,
15168,72,87,Corazón flameante,
107758,72,249,Símbolos de la pasión,
117895,72,404,Cielo / paraíso ,
126432,72,86,Corazón ,
51119,73,142,Flores ,
51121,73,325,Halo de luz ,
87865,73,4,Alas,
87867,73,185,Manto,
118654,73,404,Cielo / paraíso ,
25673,74,26,Azucenas,
25674,74,119,Escalera ,
25675,74,127,Espejo,
25676,74,183,Luna ,
25678,74,383,Rosas,
118330,74,404,Cielo / paraíso ,
127268,74,92,Corona,
51127,75,325,Halo de luz ,
51128,75,201,Nube,
51129,75,404,Cielo / paraíso ,
87871,75,23,Aureola de rayos o luz ,
118655,75,404,Cielo / paraíso ,
124947,75,201,Nube,
261,76,66,Cetro ,
443,76,92,Corona,
8103,76,185,Manto,
117697,76,404,Cielo / paraíso ,
126717,76,92,Corona,
51133,77,125,Espada ,
51135,77,181,Llave,
51136,77,325,Halo de luz ,
87872,77,4,Alas,
87873,77,185,Manto,
87875,77,23,Aureola de rayos o luz ,
87876,77,690,Descalzo,
6018,78,4,Alas,
6020,78,22,Aureola ,
6021,78,185,Manto,
6022,78,325,Halo de luz ,
6023,78,201,Nube,
117587,78,404,Cielo / paraíso ,
120761,78,167,Joyas,
51138,79,125,Espada ,
51140,79,181,Llave,
51141,79,201,Nube,
87877,79,185,Manto,
17770,80,87,Corazón flameante,
126471,80,86,Corazón ,
51143,81,66,Cetro ,
51144,81,211,Paloma ,
51146,81,149,Herida / llaga,
51148,81,201,Nube,
51150,81,404,Cielo / paraíso ,
51151,81,433,Trinidad,
87880,81,4,Alas,
87882,81,211,Paloma ,
87883,81,185,Manto,
108665,81,433,Trinidad,
118656,81,404,Cielo / paraíso ,
124948,81,201,Nube,
7686,82,4,Alas,
7688,82,22,Aureola ,
7689,82,124,Esfera / mundo ,
7690,82,185,Manto,
117681,82,404,Cielo / paraíso ,
51154,83,77,Clavos,
51155,83,81,Columna ,
51156,83,119,Escalera ,
51157,83,325,Halo de luz ,
51159,83,201,Nube,
51160,83,404,Cielo / paraíso ,
87886,83,4,Alas,
87887,83,185,Manto,
118657,83,404,Cielo / paraíso ,
124949,83,201,Nube,
125951,83,81,Columna ,
125952,83,81,Columna ,
51164,84,23,Aureola de rayos o luz ,
51165,84,77,Clavos,
51166,84,89,Cordón ,
51168,84,325,Halo de luz ,
51170,84,201,Nube,
51171,84,404,Cielo / paraíso ,
87891,84,185,Manto,
87894,84,690,Descalzo,
118658,84,404,Cielo / paraíso ,
124950,84,201,Nube,
8129,85,4,Alas,
117699,85,404,Cielo / paraíso ,
51185,86,22,Aureola ,
51186,86,80,Collar,
51187,86,81,Columna ,
51188,86,142,Flores ,
51192,86,201,Nube,
51193,86,404,Cielo / paraíso ,
51196,86,509,Ruinas,
87895,86,4,Alas,
87896,86,185,Manto,
112383,86,509,Ruinas,
5179,87,4,Alas,
5181,87,123,Escudo ,
5182,87,126,Espada flamigera,
5183,87,144,Fuego ,
5184,87,185,Manto,
5185,87,325,Halo de luz ,
5186,87,200,Niños,
5188,87,232,Rayo / trueno ,
5189,87,325,Halo de luz ,
5190,87,290,Rompimiento de gloria,
117537,87,404,Cielo / paraíso ,
51197,88,23,Aureola de rayos o luz ,
51198,88,80,Collar,
51199,88,89,Cordón ,
51200,88,142,Flores ,
51202,88,201,Nube,
51203,88,404,Cielo / paraíso ,
87900,88,185,Manto,
87902,88,142,Flores ,
118659,88,404,Cielo / paraíso ,
124951,88,201,Nube,
74550,89,177,Libro ,
74551,89,211,Paloma ,
122556,89,177,Libro ,
4403,90,4,Alas,
4404,90,8,Anagrama,
4407,90,22,Aureola ,
4409,90,66,Cetro ,
4410,90,370,Estandarte ,
4411,90,135,Estrella ,
4412,90,167,Joyas,
4413,90,185,Manto,
4414,90,325,Halo de luz ,
4415,90,201,Nube,
4417,90,232,Rayo / trueno ,
4418,90,251,Sol,
4419,90,325,Halo de luz ,
110826,90,370,Estandarte ,
117492,90,404,Cielo / paraíso ,
120743,90,167,Joyas,
132093,90,125,Espada ,
51206,91,7,Altar,
51207,91,102,Cruz / crucifijo ,
51209,91,325,Halo de luz ,
87898,91,23,Aureola de rayos o luz ,
111591,91,7,Altar,
51211,92,102,Cruz / crucifijo ,
51213,92,325,Halo de luz ,
87904,92,7,Altar,
87905,92,22,Aureola ,
87906,92,185,Manto,
74553,93,66,Cetro ,
74554,93,177,Libro ,
122557,93,177,Libro ,
51216,94,20,Arpa,
51217,94,92,Corona,
51218,94,142,Flores ,
51220,94,163,Instrumentos musicales ,
87908,94,185,Manto,
110358,94,163,Instrumentos musicales ,
127487,94,92,Corona,
74547,95,22,Aureola ,
74548,95,211,Paloma ,
106987,95,142,Flores ,
51226,96,23,Aureola de rayos o luz ,
51227,96,92,Corona,
51230,96,201,Nube,
51231,96,404,Cielo / paraíso ,
87909,96,4,Alas,
87910,96,185,Manto,
127488,96,92,Corona,
51234,97,92,Corona,
51237,97,201,Nube,
51275,97,28,Balanza,
51276,97,61,Cayado / Bastón ,
51277,97,142,Flores ,
87912,97,4,Alas,
87913,97,7,Altar,
87914,97,185,Manto,
87915,97,185,Manto,
127489,97,92,Corona,
8765,98,4,Alas,
8766,98,27,Báculo,
8767,98,83,Concha,
8768,98,185,Manto,
8769,98,201,Nube,
117710,98,404,Cielo / paraíso ,
123497,98,200,Niños,
51239,99,7,Altar,
51242,99,177,Libro ,
51243,99,239,Rosario ,
51244,99,273,Vela ,
51245,99,201,Nube,
87918,99,325,Halo de luz ,
