id,Lugar,latitud,longitud,lugar/ubicación,pais,Anotación
1350,Banco Central de Chile ,-33.441553,-70.6531832,Santiago,Chile,
532,Basilica la Merced  ,-33.4382307,-70.6465699,Santiago,Chile,
354,Catedral Asunción de la Virgen ,-33.4376122,-70.6513757,Santiago,Chile,
1760,Colección Fernando Ovalle ,-33.43761142,-70.65047281,Santiago,Chile,
1766,Colección Gonzalo Santa Cruz ,-33.43761142,-70.65047281,Santiago,Chile,
1746,"Colección Joaquín Gandarilla, Pontificia Universidad Católica ",-33.44156515,-70.63999091,Santiago,Chile,
1762,Colección Julio de Rementeria ,-33.43761142,-70.65047281,Santiago,Chile,
1277,"Colección Larraín, La Fontecilla ",-33.43761142,-70.65047281,Santiago,Chile,
1763,Colección Luis Fernando Mackenna ,-33.43761142,-70.65047281,Santiago,Chile,
1761,Colección Roberto Palumbo ,-33.43761142,-70.65047281,Santiago,Chile,
1759,Colección virtual del patrimonio artístico y arquitectónico chileno ,-33.43761142,-70.65047281,Santiago,Chile,
362,Convento Capuchinas de la santísima Trinidad ,-33.45440477,-70.64015568,Santiago,Chile,
345,Convento de Agustinas ,-33.4462957,-70.6318104,Santiago,Chile,
348,Convento del Carmen de San José ,-33.4521964,-70.6048369,Santiago,Chile,
627,Convento dominicas de santa Rosa de Lima ,-33.40397294,-70.55814326,Santiago,Chile,
924,Convento Máximo san José ,-33.43801212,-70.64615466,Santiago,Chile,
347,Convento Nuestra señora de la Victoria ,-33.53371024,-70.57323946,Santiago,Chile,
344,Convento santa Clara ,-33.5907423,-70.5800074,Santiago,Chile,
186,Iglesia conventual del Carmen bajo san Rafael ,-33.4291263,-70.6533518,Santiago,Chile,
40,Iglesia san Vicente Ferrer ,-33.40753161,-70.54203273,Santiago,Chile,
503,Iglesia y convento franciscano de la Recoleta ,-33.43011721,-70.64762059,Santiago,Chile,
305,Iglesia y convento san Francisco ,-33.44230423,-70.64780765,Santiago,Chile,
840,Instituto Geográfico Militar ,-33.45146138,-70.65777322,Santiago,Chile,
1757,Museo de arte colonial de San Francisco ,-33.44297291,-70.6478975,Santiago,Chile,
1780,Museo de Artes Decorativas ,-33.4237784,-70.64511808,Santiago,Chile,
47,Museo Histórico Dominico ,-33.42384044,-70.64529995,Santiago,Chile,
526,Museo Histórico Nacional ,-33.4370444,-70.6506998,Santiago,Chile,
1914,Museo Nacional de Bellas Artes ,-33.4353465,-70.643551,Santiago,Chile,
1773,Palacio de la Moneda ,-33.4429091,-70.6538699,Santiago,Chile,
621,Igreja Matriz santa Ana ,-20.78787716,-43.69167629,Santana dos Montes,Brasil,
365,Convento santa Rosa de Ocopa ,-11.87379377,-75.29402777,Santa Rosa de Ocopa,Perú,
945,Iglesia Nuestra Señora de Loreto,-26.88699551,-56.84880164,Santa Rosa de Lima ,Paraguay,
487,Igreja Matriz de Nossa Senhora de Nazaré ,-20.18284754,-43.41513158,Santa Rita Durao,Brasil,
1874,Centro Cultural San Juan Nepomuceno ,11.24385844,-74.21375264,Santa Marta ,Colombia,Antes Instituto Magdalena
852,Iglesia Nuestra Señora de la Natividad ,19.10858319,-97.59254386,Santa Maria Coatepec,México,
907,Arzobispado Santa fe de Antioquia ,6.558212835,-75.82982565,Santa Fe de Antioquia,Colombia,
2051,Casa de don Juan Esteban Martínez y Ferreiro ,6.557326918,-75.82745456,Santa Fe de Antioquia,Colombia,
2039,Catedral Inmaculada Concepción ,6.5567976,-75.8275737,Santa Fe de Antioquia,Colombia,
529,Iglesia Nuestra Señora de Chiquinquira ,6.558659017,-75.82993135,Santa Fe de Antioquia,Colombia,
1565,Iglesia santa Bárbara,6.5570508,-75.8257498,Santa Fe de Antioquia,Colombia,
515,Museo Francisco Cristóbal Toro ,6.557369116,-75.826253,Santa Fe de Antioquia,Colombia,
1357,Museo Juan del Corral ,6.557833301,-75.82766069,Santa Fe de Antioquia,Colombia,
2143,Arquidiócesis de Santa Fe y Museo ,35.6860647,-105.9360327,Santa Fe,Argentina,
784,Basílica de Guadalupe ,-31.60273169,-60.67201839,Santa Fe,Argentina,
593,Basilica Nuestra señora del Carmen ,-31.6458292,-60.7059423,Santa Fe,Argentina,
525,Catedral Todos los santos ,-31.6459721,-60.7106088,Santa Fe,Argentina,
