id,Info_categorias,Autores,Simbolos,Descriptores,Gesto Lista,Categoria 1,Categoria 2,Categoria 3,Categoria 4,Categoria 5,Ciudad Origen,Ciudad Actual,Pais Origen,Pais Actual,Ubicacion,Relato_visual_lista,Fuente Imagen,Tecnica,Donante,Escenario,Cartela Filacteria,Fuente Iconografica,Biografia,Tipo Historia,Categoria 6
994,,William Winstanley,,,,Coronacion con santos y donantes,Coronacion con santos y donantes,Coronacion con santos y donantes,Coronacion con santos y donantes,Coronacion con santos y donantes,,,,,"Colección José Orihuela (Lima, Perú)",,,,,,,,,,Coronacion con santos y donantes
995,,Winthrop Chandler,,,,Coronacion solo Trinidad,Coronacion solo Trinidad,Coronacion solo Trinidad,Coronacion solo Trinidad,Coronacion solo Trinidad,,,,,"Museo Universidad Ana G. Méndez (antes Universidad de Turabo, Gurabo)",,,,,,,,,,Coronacion solo Trinidad
996,, Ximénes,,,,Coronación escudos,Coronación escudos,Coronación escudos,Coronación escudos,Coronación escudos,,,,,Iglesia Cristo del Buen Viaje (Pampatar),,,,,,,,,,Coronación escudos
997,,Zedekiah Belknap,,,,Coronación eucarística,Coronación eucarística,Coronación eucarística,Coronación eucarística,Coronación eucarística,,,,,"Igreja São Pedro dos Clérigos (Salvador, Bahía)",,,,,,,,,,Coronación eucarística
998,,Marcos  Zapata,,,,Expectación,Expectación,Expectación,Expectación,Expectación,,,,,Colección Pérez Simón (CdMx),,,,,,,,,,Expectación
999,,Diego de la Puente ,,,,Piel,Piel,Piel,Piel,Piel,,,,,Iglesia de la Santísima Trinidad (CdMx),,,,,,,,,,Piel
1000,,Manoel da Costa Ataíde,,,,Salamiel,Salamiel,Salamiel,Salamiel,Salamiel,,,,,Iglesia Santiago Apóstol (Nopalucan),,,,,,,,,,Salamiel
1001,,Jan Van Kessel,,,,Yeriel y Leahd,Yeriel y Leahd,Yeriel y Leahd,Yeriel y Leahd,Yeriel y Leahd,,,,,Secretaria de cultura (CdMx),,,,,,,,,,Yeriel y Leahd
1002,,Diego Samaniego ,,,,Alegorías a la Iglesia y la vida cristiana,Alegorías a la Iglesia y la vida cristiana,Alegorías a la Iglesia y la vida cristiana,Alegorías a la Iglesia y la vida cristiana,Alegorías a la Iglesia y la vida cristiana,,,,,"Museo Internacional de las Artes Folkloricas (Santa Fe, NM)",,,,,,,,,,Alegorías a la Iglesia y la vida cristiana
1003,,Cristóbal Lozano,,,,Alegorías cristológicas,Alegorías cristológicas,Alegorías cristológicas,Alegorías cristológicas,Alegorías cristológicas,,,,,Museo Nacional del Banco Central del Ecuador (Cuenca),,,,,,,,,,Alegorías cristológicas
1004,Demonio - Diablo - Satanás,Leonardo Jaramillo,,,,Alegorías marianas,Alegorías marianas,Alegorías marianas,Alegorías marianas,Alegorías marianas,,,,,Museo Catedralicio (Cádiz),,,,,,,,,,Alegorías marianas
1005,"María Egipciaca, santa",Juan de Valdés Leal,,,,Ciencias y artes liberales,Ciencias y artes liberales,Ciencias y artes liberales,Ciencias y artes liberales,Ciencias y artes liberales,,,,,Museo de Arte e Historia (Guanajuato),,,,,,,,,,Ciencias y artes liberales
1006,,Cristóbal de Aguilar,,,,"Universidad, santos Tomás y Agustín","Universidad, santos Tomás y Agustín","Universidad, santos Tomás y Agustín","Universidad, santos Tomás y Agustín","Universidad, santos Tomás y Agustín",,,,,Iglesia de Nuestro Señor san Blas (Pabellón de Hidalgo),,,,,,,,,,"Universidad, santos Tomás y Agustín"
