id,Info_categorias,Autores,Simbolos,Descriptores,Gesto Lista,Categoria 1,Categoria 2,Categoria 3,Categoria 4,Categoria 5,Ciudad Origen,Ciudad Actual,Pais Origen,Pais Actual,Ubicacion,Relato_visual_lista,Fuente Imagen,Tecnica,Donante,Escenario,Cartela Filacteria,Fuente Iconografica,Biografia,Tipo Historia,Categoria 6
205,David ,Diego de Torres,,,Mano frente abajo señala: indicar inferior,Padre eterno,Padre eterno,Padre eterno,Padre eterno,Padre eterno,Parinacota,Parinacota,,,Iglesia san Antonio de Padua y Convento san Judas (Calpulalpan),,"Perú indígena y virreinal. Museu Nacional d´art de Catalunya, Biblioteca Nacional de España. Madrid: Seaex, D.L., 2004.",,,,,,,,Padre eterno
206,Cristo muerto,Diego del Carpio,Oveja,,Mano palma al frente,Trinidad tricefálica,Trinidad tricefálica,Trinidad tricefálica,Trinidad tricefálica,Trinidad tricefálica,Hualahoyo,Hualahoyo,,,Basilica Nuestra señora de Copacabana (Copacabana),,,,,,,,,,Trinidad tricefálica
207,Cristo preso,Diego Domínguez Sanabria,,,Mano en la frente: saludo con respeto,Padre y crucificado,Padre y crucificado,Padre y crucificado,Padre y crucificado,Padre y crucificado,Humahuaca,Humahuaca,,,Iglesia y convento santa María Magdalena (Quecholac),,"LÓPEZ GUZMÁN, Rafael J. Perú indígena y virreinal. Barcelona:  Sociedad Estatal p ara la Acción Cultural Exterior, Museu Nacional d'Art de Catalunya, 2004.",,,,,,,,Padre y crucificado
208,Cristo Redentor,Diego José Hilaris,Pájaro / aves ,,Mano derecha tres dedos: bendición o pedir silencio,Tres personas,Tres personas,Tres personas,Tres personas,Tres personas,Santiago de Huata,Santiago de Huata,,,Iglesia y convento dominico san Pablo de los Frailes (Puebla),,PESSCA www.colonialart.org/,,,,,,,,Tres personas
209,Cristo Salvador,Diego Pérez,,Llanto,Mano abajo indica: señalar,Concepción de la Virgen,Concepción de la Virgen,Concepción de la Virgen,Concepción de la Virgen,Concepción de la Virgen,Loreto,Loreto,,,Iglesia Nuestra Señora de Tzocuilac (Cholula),,,,,,,,,,Concepción de la Virgen
210,Defensa de la Inmaculada,Diego Quispe Tito,Palma del martirio ,,Mano abajo forma tenedor,Sagrada familia de la Virgen,Sagrada familia de la Virgen,Sagrada familia de la Virgen,Sagrada familia de la Virgen,Sagrada familia de la Virgen,Rosario,Rosario,,,Convento dominico santa Catalina de Siena (CdMx),,,,,,,,,,Sagrada familia de la Virgen
211,Defensas de la eucaristía,José María Movia,Paloma ,,Mano frente forma garra,Nacimiento de la Virgen,Nacimiento de la Virgen,Nacimiento de la Virgen,Nacimiento de la Virgen,Nacimiento de la Virgen,San Salvador de Jujuy,San Salvador de Jujuy,,,Iglesia san Buenaventura (Nealtican),,,,,,,,,,Nacimiento de la Virgen
212,Torre de Babel,Diego Vásquez,Pan,Guitarra,Palmas arriba:,Presentación de la Virgen,Presentación de la Virgen,Presentación de la Virgen,Presentación de la Virgen,Presentación de la Virgen,Tlaquepaque,Tlaquepaque,,,Iglesia de Santiago Momoxpan (Puebla),,"COSSIO DEL POMAR, F. Pintura colonial. Escuela Cuzqueña. París: Crete, 1929.",,,,,,,,Presentación de la Virgen
213,Defensas de tesis,Domingo Carro,Pastor,Pueblo,Mano al lado de frente:,Hilandera,Hilandera,Hilandera,Hilandera,Hilandera,Rapaz,Rapaz,,,Iglesia san Francisco Coapan (San Andrés Cholula),,"BURKE, Marcus. Pintura y escultura en la Nueva España. El barroco. México: Azabache, 1992.",,,,,,,,Hilandera
214,Caín y Abel ,Domingo de Vasconcellos,Pavo real,,Palma abierta abajo:,Educación,Educación,Educación,Educación,Educación,Tucson,Tucson,,,Iglesia san Gabriel Ometoxtla (Cholula),,,,,,,,,,Educación
215,Descanso en la Huida a Egipto,Domingo Maestre,Pelícano,,Palma contra piso:,Desposorios,Desposorios,Desposorios,Desposorios,Desposorios,Tinta,Tinta,,,Iglesia santa Bárbara Almoloya (Cholula),,,,,,,,,,Desposorios
216,Descenso de Cristo al Infierno y al Limbo, Miramón,Perfume,Telas,Mano a cintura:,Anunciación,Anunciación,Anunciación,Anunciación,Anunciación,Quíbor,Quíbor,,,Iglesia san Diego Cuachayotla (Cholula),,,,,,,,,,Anunciación
217,Despojo de las vestiduras,Ebenezer Mack,,Desierto,Dedos foma de V: bendición,Visitación,Visitación,Visitación,Visitación,Visitación,Trinidad (Paraguay),Trinidad (Paraguay),,,Iglesia Santo Niño Perdido (Cholula),,,,,,,,,,Visitación
218,Devociones al crucificado,Edward Greene Malbone,Perro,,Dos manos tocandose punta dedos: meditación,Nacimiento de Jesús,Nacimiento de Jesús,Nacimiento de Jesús,Nacimiento de Jesús,Nacimiento de Jesús,Orosí,Orosí,,,Capilla de la Tercera Orden Franciscana (Oaxaca),,,,,,,,,,Nacimiento de Jesús
219,Devociones cristológicas,Edward Heaton,,,Palma arriba: señalar,Adoración de los Pastores,Adoración de los Pastores,Adoración de los Pastores,Adoración de los Pastores,Adoración de los Pastores,Acomayo,Acomayo,,,Iglesia Santiago Apóstol (Belén de Huachacalla),,"BENAVENTE, Teófilo y Alejandro Martínez. Historia del arte cusqueño: pintores cusqueños de la colonia. Cusco: Municipalidad Provincial del Cusco. 1995.",,,,,,,,Adoración de los Pastores
220,Dibujos coloniales,Edward Hicks,,Caldero / olla ,Señalar mano,Adoración de los Reyes,Adoración de los Reyes,Adoración de los Reyes,Adoración de los Reyes,Adoración de los Reyes,Copacabana,Copacabana,,,Iglesia san Pablo Tecamac (Cholula),,"TOVAR DE TERESA, Guillermo. Pintura y escultura en la Nueva España (1557-1640). México: Azabache, 1992.",,,,,,,,Adoración de los Reyes
221,"Diego Alcalá, san",Edward Miles,,,Acariciar rostro: afecto,Circuncisión,Circuncisión,Circuncisión,Circuncisión,Circuncisión,Tzintzuntzan,Tzintzuntzan,,,Museo arquidiocesano de Arte Religioso (Popayán),,,,,,,,,,Circuncisión
222,Doctores de la Iglesia,Edward Savage,,,"Tocar pie: humildad, sometimiento",Presentación del niño Jesús,Presentación del niño Jesús,Presentación del niño Jesús,Presentación del niño Jesús,Presentación del niño Jesús,Chalchicomula de Sesma,Chalchicomula de Sesma,,,Iglesia Nuestra señora del Rosario de Chiquinquirá (Ramiriquí),,Pintura escult NE Mus Reg Qutaro.,,,,,,,,Presentación del niño Jesús
223,"Domingo de la calzada, santo",Edwin T. Billings,,,"Manos entrelazadas: melancolía, espera",,,,,,San Francisco,San Francisco,,,Iglesia Ecce Homo (San Pedro Cholula),,,,,,,,,,
224,Virgen del apocalípsis,Eliab Metcalf,,,"Manos entrelazadas, dedos posición:",Niño de la Espina,Niño de la Espina,Niño de la Espina,Niño de la Espina,Niño de la Espina,Salas (Perú),Salas (Perú),,,Iglesia Nuestra señora de la Natividad (Paruro),,,,,,,,,,Niño de la Espina
225,Banquete de Belhazar,Eliza Goodridge,,Cama,Compuesto: brazos abiertos - mano en v,Santos Inocentes,Santos Inocentes,Santos Inocentes,Santos Inocentes,Santos Inocentes,Salta,Salta,,,Iglesia san José (San Juan),,,,,,,,,,Santos Inocentes
226,Devociones de la pasión,Emanuel López,Pobreza (mendigo) ,,Manos bolsillos:,Egipto,Egipto,Egipto,Egipto,Egipto,Pasto,Pasto,,,Iglesia y convento santa Teresa (Queretaro),,"GUTIÉRREZ HACES, Juana. Pintura de los reinos: identidades compartidas: territorios del mundo hispánico, siglos XVI-XVIII, tomo 3. México: Banamex, 2009.",,,,,,,,Egipto
227,Eleazario de sabrano,Juan de  Alzíbar,,,Mano frente palma abajo:,Sagrada Familia,Sagrada Familia,Sagrada Familia,Sagrada Familia,Sagrada Familia,Huamanga,Huamanga,,,Iglesia Santiago Mixquitla (Cholula),,,,,,,,,,Sagrada Familia
228,Eliseo,Erastus Salisbury Field,Pompas de jabón,,Palma arriba al frente:,Entre Doctores,Entre Doctores,Entre Doctores,Entre Doctores,Entre Doctores,San Salvador el Verde,San Salvador el Verde,,,Iglesia san Miguel Tianguisnahuac (Cholula),,"GUTIÉRREZ HACES, Juana. Pintura de los reinos: identidades compartidas: territorios del mundo hispánico, siglos XVI-XVIII, tomo 4. México: Banamex, 2009.",,,,,,,,Entre Doctores
229,"Eloy Obispo, san",Esteban Zeballos,Pozo,,Muecas y gestos: burla,Jerarquía ángeles,Jerarquía ángeles,Jerarquía ángeles,Jerarquía ángeles,Jerarquía ángeles,Olinda,Olinda,,,Convento san Gabriel (San Andrés Cholula),,,,,,,,,,Jerarquía ángeles
230,Jonás,Estevao do Loreto Joassar,Puerta ,,Abajo mano golpea otra:,Tránsito de la Virgen y Dormición,Tránsito de la Virgen y Dormición,Tránsito de la Virgen y Dormición,Tránsito de la Virgen y Dormición,Tránsito de la Virgen y Dormición,Penedo,Penedo,,,Iglesia Santiago Apóstol (Lamay),,,,,,,,,,Tránsito de la Virgen y Dormición
231,Emblemas,Ethan Allen Greenwood,,,"Tomarse la mano a sí: Esperar, paciencia",Asunción,Asunción,Asunción,Asunción,Asunción,Guadalupe,Guadalupe,,,Museo Casa del Caballero Águila (Cholula),,"GUTIÉRREZ HACES, Juana. Pintura de los reinos: identidades compartidas: territorios del mundo hispánico, siglos XVI-XVIII, tomo 1. México: Banamex, 2008.",,,,,,,,Asunción
232,Jesús,Eunice Pinney,Rayo / trueno ,Gallina,Mano abierta contra el piso: derrota,Coronación y Eucaristía,Coronación y Eucaristía,Coronación y Eucaristía,Coronación y Eucaristía,Coronación y Eucaristía,Mérida (Ven.),Mérida (Ven.),,,Iglesia san Pedro Cholula (Cholula),,"GUTIÉRREZ HACES, Juana. Pintura de los reinos: identidades compartidas: territorios del mundo hispánico, siglos XVI-XVIII, tomo 2. México: Banamex, 2008.",,,,,,,,Coronación y Eucaristía
233,"Susana, Historia de la casta",Eusebio de Matos,Rebaño,,Brazos cruzados:,Sacramentos de la virgen,Sacramentos de la virgen,Sacramentos de la virgen,Sacramentos de la virgen,Sacramentos de la virgen,Ohio,Ohio,,,Iglesia y convento los Santos Reyes (Meztitlán),,,,,,,,,,Sacramentos de la virgen
234,"Emigdio, san ",Juan José  Llamozas,,Cañón,Manos entrelazadas:,Dolores sin cuchillo,Dolores sin cuchillo,Dolores sin cuchillo,Dolores sin cuchillo,Dolores sin cuchillo,Mariana,Mariana,,,Capilla Real de los Naturales (en convento San Gabriel) (San Pedro Cholula),,,,,,,,,,Dolores sin cuchillo
235,Empadronamiento,Ezra Ames,Reloj ,,Dos dedos en cintura:,Siete dolores,Siete dolores,Siete dolores,Siete dolores,Siete dolores,São João del Rei,São João del Rei,,,Iglesia san Miguel Arcángel (Puebla),,"ARIBAS LEGAS, Javier, et al. Pintura en el Virreinato del Perú. Lima: Banco de Crédito del Perú, 1989.",,,,,,,,Siete dolores
236,Magdalena unge pies de Cristo,Fabián Pérez de Medina,,,Cuerno dedos abajo:,Descanso,Descanso,Descanso,Descanso,Descanso,Belem,Belem,,,Santuario Virgen de los Remedios (San Andrés Cholula),,"ANTEI, Giorgio. Plus Ultra: oltre il barrocco: arte latino-americana a confronto. Milano: Silvana, 2009.",,,,,,,,Descanso
237,Entierro de Cristo,Faustino Galindo,,,Puño en cintura:,Tzocuilac,Tzocuilac,Tzocuilac,Tzocuilac,Tzocuilac,Tultitlán,Tultitlán,,,Iglesia san Antonio Cacalotepec (San Andrés Cholula),,Postal,,,,,,,,Tzocuilac
238,"eremitas Iglesia primitiva, Santas ",Felipe de Rivera,,,Palma frente abajo inclinada:,Huida a Egipto,Huida a Egipto,Huida a Egipto,Huida a Egipto,Huida a Egipto,Diamantina,Diamantina,,,Iglesia san Bernardino Tlaxcalacingo (San Andrés Cholula),,"Presencia de Zurbarán. Catálogo de Exposición. Bogotá: Banco de la República, 1988.",,,,,,,,Huida a Egipto
239,Escenas bíblicas ,Felipe Fabres,Rosario ,Mercado,"Levantar algo: exhibir, mostrar",Regreso,Regreso,Regreso,Regreso,Regreso,Catas altas,Catas altas,,,Exposicion temporal Miradas comparadas en los Virreinatos de America: México y Peru 2012 (LACMA),,"CAILLET-BOIS, H. Primer Salón de Arte Sagrado y retrospectivo. Santafé: Ministerio de Instrucción Pública, 1940.",,,,,,,,Regreso
240,Escenas bíblicas históricas,Felipe García,,,Dedos rostro:,Defensas de la eucaristía,Defensas de la eucaristía,Defensas de la eucaristía,Defensas de la eucaristía,Defensas de la eucaristía,Niteroi,Niteroi,,,Iglesia san Luis (San Luis Tehuiloyocan),,"BENSON, Elizabeth, et al. Retratos. 2000 years of Latin American Portraits. San Antonio: Yale University Press, San Antonio Museum Art, 2005.",,,,,,,,Defensas de la eucaristía
241,"Escenas cotidianas conventuales, eclesiásticas y religiosas",Felipe Guamán Poma de Ayala,,,Cargar o sostener:,Adoración de Eucaristía,Adoración de Eucaristía,Adoración de Eucaristía,Adoración de Eucaristía,Adoración de Eucaristía,Huanoquite,Huanoquite,,,Iglesia san Francisco Acatepec (San Andrés Cholula),,"FLÓREZ ARAOZ, José, et al. Santa Rosa de Lima y su tiempo. Lima: Banco de Crédito, 1995.",,,,,,,,Adoración de Eucaristía
242,Melquisedec,Felix Emile Taunay,,Velo,Dedos paralelos:,Dolores un cuchillo,Dolores un cuchillo,Dolores un cuchillo,Dolores un cuchillo,Dolores un cuchillo,Igaraçu,Igaraçu,,,Iglesia Santísima Trinidad Zenteocalco (San Andrés Cholula),,"MUJICA PINILLA, Ramón. Rosa limensis: mística, política e iconografía en torno a la patrona de América. México D. F.: Fondo de Cultura Económica, 2005.",,,,,,,,Dolores un cuchillo
243,Escenas cotidianas decorativas y alimentación,Félix Ospino,,,Pulgar e indice cuerno abajo: interrogatorio juicio,Milagros Virgen Pomata,Milagros Virgen Pomata,Milagros Virgen Pomata,Milagros Virgen Pomata,Milagros Virgen Pomata,Santa Rita Durao,Santa Rita Durao,,,Iglesia Santiago Xicotenco (San Andrés Cholula),,,,,,,,,,Milagros Virgen Pomata
244,Escenas cotidianas interiores e intimidad,Félix Zarte,Sangre,Cartas,Mano vertical al frente: bendición,Santa Marta,Santa Marta,Santa Marta,Santa Marta,Santa Marta,Embu,Embu,,,Iglesia Nuestra Señora de Chiquinquirá (Santuario),,"LEBRERO, Cecilia (ed.). Ruega por nosotros. Las imágenes religiosas del Museo Pueyrredón. San Isidro: Municipalidad de San Isidro, 2011.",,,,,,,,Santa Marta
245,Escenas cotidianas marítimas,Fernando Álvarez Carneiro,Sello,Monjas ,Mano vertical frente:,Dios Pinta,Dios Pinta,Dios Pinta,Dios Pinta,Dios Pinta,São Roque,São Roque,,,Iglesia san Juan Aquiahuac (San Andrés Cholula),,www.Saber.sapo.ao/wiki/Barroco_no_Brasil,,,,,,,,Dios Pinta
246,Aaron,Fernando Gualpa Tupa,Seno ,Convento,Dos manos entre mangas:,Guadalupe con composición de milagros,Guadalupe con composición de milagros,Guadalupe con composición de milagros,Guadalupe con composición de milagros,Guadalupe con composición de milagros,Itu São Paulo,Itu São Paulo,,,Iglesia conventual concepcionista Regina Coeli (CdMx),,"Fondo pro recuperación del patrimonio cultural. Iglesia de San Pedro. Lima: Banco de Crédito, 1998.",,,,,,,,Guadalupe con composición de milagros
247,"Escenas cotidianas música, paseo y diversión",Florentino Olivares,Serpiente ,,"Brazo cruzado al lado: rechazo, lucha",Guadalupe sola,Guadalupe sola,Guadalupe sola,Guadalupe sola,Guadalupe sola,Salvador de Bahia,Salvador de Bahia,,,Museo Monseñor Juan Sinforiano Bogarin (Asunción),,"STASTNY, Francisco. Conjunto monumental de santo Domingo. Lima: Banco de Crédito, Fondo pro recuperación del patrimonio cultural, 1998.",,,,,,,,Guadalupe sola
248,Predestinación de Cristo,Francesco Salviati,,,Formas varias brazo al pecho:,Guadalupe de Extremadura,Guadalupe de Extremadura,Guadalupe de Extremadura,Guadalupe de Extremadura,Guadalupe de Extremadura,Malinalco,Malinalco,,,"Museo de Arte Colonial (Antigua, Gu)",,"BRACCIO, Gabriela y Gustavo Tudisco. Ser y parecer. Identidad y representación en el Mundo Colonial. Buenos Aires: Museo de Arte Hispanoamericano “Isaac Fernández Blanco”, 2001.",,,,,,,,Guadalupe de Extremadura
249,Escenas cotidianas oficios y labores,Francis Alexander,Símbolos de la pasión,Murallas,"Brazo largo al lado: detener, rechazo mundo",Magdalena,Magdalena,Magdalena,Magdalena,Magdalena,Itaverava,Itaverava,,,Igreja Nossa Senhora do Carmo (Oro Preto),,"Serie de Santa Teresa: Visiones develadas, Monasterio del Carmen de San José de Santiago de Chile. Santiago: Santiago de Chile, 2009.",,,,,,,,Magdalena
250,Escenas cotidianas rurales e indígenas, Silverio  ,,Verdugo,Caido brazo arriba: misericordia en la derrota,María Egipciaca,María Egipciaca,María Egipciaca,María Egipciaca,María Egipciaca,Pirapetinga,Pirapetinga,,,Colección Francisco Yábar (Lima. Perú),,,,,,,,,,María Egipciaca
251,Escenas cotidianas sobre política,Francis Guy,Sol,,Protegerse con brazo:,Mónica,Mónica,Mónica,Mónica,Mónica,Vitoriano Veloso,Vitoriano Veloso,,,Iglesia y convento La Merced (Quito),,"BARRIO, Néstor, et al. Las doce sibilas de la parroquia de San Pedro Telmo. San Martín: Fundación Tarea, Universidad Nacional de General San Martín, 2005.",,,,,,,,Mónica
252,Escenas cotidianas urbanas,Francis Martin Drexel,,,Dedos forma señalar,Santas eremitas Iglesia primitiva,Santas eremitas Iglesia primitiva,Santas eremitas Iglesia primitiva,Santas eremitas Iglesia primitiva,Santas eremitas Iglesia primitiva,Serro,Serro,,,Iglesia san Pedro (Lima),,"SCOBRY LEACEY, Dominique. Simbología andina en el arte precolombino y colonial. Quito: Amtex, 1999.",,,,,,,,Santas eremitas Iglesia primitiva
253,Escudos,Francis Rabineau,,,Señalar: silencio bendecir,Lactación San Nolasco,Lactación San Nolasco,Lactación San Nolasco,Lactación San Nolasco,Lactación San Nolasco,Actopan,Actopan,,,Iglesia Santiago apóstol (Pacarectambo),,,,,,,,,,Lactación San Nolasco
254,"Estaciones, continentes y países",Francisco Albán,,Herramientas de agricultura,Mano una sobre otra: ,Defensas,Defensas,Defensas,Defensas,Defensas,Filadelfia,Filadelfia,,,Catedral Nuestra Señora de la Anunciación (Asunción),,"Sólo ángeles. Iconografía angélica en el arte colonial iberoamericano. Buenos Aires: Museo de Arte Hispanoamericano, 1995.",,,,,,,,Defensas
255,Eucaristía e iglesia docente,Francisco Antonio Vallejo,,Casulla,No,Tota Pulchra,Tota Pulchra,Tota Pulchra,Tota Pulchra,Tota Pulchra,Tonalá,Tonalá,,,Museo Jacinto Jijón y Caamaño (Quito),,www.spanishcolonial.com,,,,,,,,Tota Pulchra
256,Evangelistas,Francisco Bejarano,,,,Lactación Domingo,Lactación Domingo,Lactación Domingo,Lactación Domingo,Lactación Domingo,Tepeaca,Tepeaca,,,Museo fray Pedro Gocial san Francisco (Quito),,"BURUCÚA, José E. Tarea de diez años. Buenos Aires: Fundación Antorchas, 2000.",,,,,,,,Lactación Domingo
257,Expulsión del templo,Francisco Benito de Miranda,,,,Virgen de Caracas,Virgen de Caracas,Virgen de Caracas,Virgen de Caracas,Virgen de Caracas,El Venado,El Venado,,,Iglesia san Miguel Arcángel (San Miguel de Allende),,,,,,,,,,Virgen de Caracas
258,Exvotos,Manuel Serna,Timón,Catalejo,,Cinta,Cinta,Cinta,Cinta,Cinta,Pinos,Pinos,,,Iglesia san Pablo Villa (San Pablo Villa de Mitla),,,,,,,,,,Cinta
259,"Felipe Benicio, san",Francisco Carden,,,,Escenas,Escenas,Escenas,Escenas,Escenas,Zumpango,Zumpango,,,Centro Cultural de San Marcos (Lima),,"LARA, María Eugenia de, et al. Tesoros del Museo Nacional de Historia en el Castillo de Chapultepec. México: INAH, 1994.",,,,,,,,Escenas
260,"Felipe de Jesús, san",Francisco Chihuantito,Torre ,,,Santos y/o donantes,Santos y/o donantes,Santos y/o donantes,Santos y/o donantes,Santos y/o donantes,Juitepec,Juitepec,,,Iglesia y convento de los Descalzos (Lima),,"ARMELLA DE ASPE, Virginia y Mercedes Meade de Angulo. Tesoros de la pinacoteca virreinal. México: Fomento cultural Banamex, 1993.",,,,,,,,Santos y/o donantes
261,"Fermín, san",Francisco Clapera,,Pescador,,Tipo sin cinta,Tipo sin cinta,Tipo sin cinta,Tipo sin cinta,Tipo sin cinta,Tabasco (Zacatecas),Tabasco (Zacatecas),,,Catedral Virgen de la Asunción (Cuzco),,,,,,,,,,Tipo sin cinta
262,"Fernando, san",Francisco Contreras,Triángulo equilátero ,,,Bárbara,Bárbara,Bárbara,Bárbara,Bárbara,Roma,Roma,,,Hotel Palacio del Inka (Cuzco),,,,,,,,,,Bárbara
263,Francisco Bolaños, Cano,,Evangelización,,Agueda,Agueda,Agueda,Agueda,Agueda,Ejutla,Ejutla,,,Museo Larco (Lima),,,,,,,,,,Agueda
264,"Francisco de Asís, estigmas de ",Andrés de Barragán,,,,Apolonia,Apolonia,Apolonia,Apolonia,Apolonia,Coacalco de Berriozábal,Coacalco de Berriozábal,,,Iglesia y convento La Merced (Cuzco),,,,,,,,,,Apolonia
265,"Francisco de Regis, san",Josep Zayas,,,,Catalina de Alejandría,Catalina de Alejandría,Catalina de Alejandría,Catalina de Alejandría,Catalina de Alejandría,Huehuetoca,Huehuetoca,,,Iglesia san Blas (Cuzco),,,,,,,,,,Catalina de Alejandría
266,"Francisco de Sales, san",Francisco de Escobar,Unicornio,,,Cecilia,Cecilia,Cecilia,Cecilia,Cecilia,Cocula,Cocula,,,Iglesia conventual santo Domingo (CdMx),,,,,,,,,,Cecilia
267,Francisco Niño de Moguer,Francisco de Herrera y Velarde,,,,Cristina,Cristina,Cristina,Cristina,Cristina,Pinos Zacatecas,Pinos Zacatecas,,,Iglesia conventual san Francisco el grande (CdMx),,,,,,,,,,Cristina
268,"Gelasio I, san",Francisco de León,Uvas,Cepillo,,Dorotea,Dorotea,Dorotea,Dorotea,Dorotea,Rinconada,Rinconada,,,"Iglesia del Carmen (Santa Cruz, Bol.)",,"MORENO PROAÑO, Agustín. Tesoros artísticos. Quito, Guayaquil: Museo Filanbanco, 1983.",,,,,,,,Dorotea
269,"Gloria, corte y trono celestial",F. Serrato,,,,Elena,Elena,Elena,Elena,Elena,Accha,Accha,,,Colección Banco Central de Reserva (Arequipa),,,,,,,,,,Elena
270,"Gregorio López, venerable",Francisco de Morales,,,,Inés mártir,Inés mártir,Inés mártir,Inés mártir,Inés mártir,Tlahuelilpan,Tlahuelilpan,,,Iglesia Santiago apóstol (Lucre),,"Tesoros del Arte Virreinal: Casa de la Moneda de Potosí. Barcelona: Iberdrola, 1996.",,,,,,,,Inés mártir
271,"Gregorio Nascianceno, san",Francisco de Padilla,,,,Lucía,Lucía,Lucía,Lucía,Lucía,San Lucas Xolox,San Lucas Xolox,,,Iglesia santa María Magdalena Coapa (San Pedro Cholula),,,,,,,,,,Lucía
272,"Guillermo, san",Francisco de Paula Oliveira Dias,,,,Margarita,Margarita,Margarita,Margarita,Margarita,Urcos,Urcos,,,Iglesia Santiago apóstol (Ollataytambo),,"STRATTON-PRUITT, Suzanne (ed.). The Virgin, Saints and Angels: South American Paintings 1600-1825 from the Thoma Collection. Stanford: Skira, 2006.",,,,,,,,Margarita
273,Santos mercedarios,Francisco de Quispe,Vela ,Asesinato,,Orosia,Orosia,Orosia,Orosia,Orosia,Quecholac,Quecholac,,,Iglesia y convento de la Concepción (Quito),,Tresors L’Ecuate.,,,,,,,,Orosia
274,"Hipólito, san ",Francisco de Sandoval,,,,Otras mártires,Otras mártires,Otras mártires,Otras mártires,Otras mártires,Jiquipilco,Jiquipilco,,,Iglesia Jesús Nazareno Tlatempan (San Pedro Cholula),,"ABAD, Gonzalo y Diego Ortiz Múgica. Una serie de pinturas cuzqueñas de Santa Catalina: historia, restauración y química. Buenos Aires: Fundación Tarea, 1998.",,,,,,,,Otras mártires
275,"Historia antigua, Pintura de la ",Francisco de Zurbarán,,Balcón,,Tecla,Tecla,Tecla,Tecla,Tecla,Chiclayo,Chiclayo,,,"Colección Dañino-Beck (Lima, Perú)",,,,,,,,,,Tecla
276,Pedro arrepentido,Francisco del Pozo,,,,Úrsula,Úrsula,Úrsula,Úrsula,Úrsula,Santiago del Estero,Santiago del Estero,,,Catedral san José (Antigua),,"ARAUJO, Emanoel, et al. O universo mágico do barroco brasileiro. Sa~o Paulo: FIESP/CIESP/IRS, 1998.",,,,,,,,Úrsula
277,Historia de los indígenas,Francisco Eduardo Tresguerras,,,,Miguel con balanza,Miguel con balanza,Miguel con balanza,Miguel con balanza,Miguel con balanza,Chapala,Chapala,,,Capilla Nuestra Señora del Rosario (Tlayacapan),,"MURIEL, Josefina et al. Los vascos en México y su colegio de las Vizcaínas. México: Instituto de Investigaciones Estéticas e Históricas, UNAM, 1987.",,,,,,,,Miguel con balanza
278,Historia de venerables,Juan Manuel de Ávila,,Peregrinos,,Miguel con cadena,Miguel con cadena,Miguel con cadena,Miguel con cadena,Miguel con cadena,Catamarca,Catamarca,,,Santuario Señor de Tlacotepec (Tlacotepec),,"LÓPEZ VALLARINO, Teresa. La vida y el arte del ilustre panameño Hernando de la Cruz S.J., 1591-1646. Quito: La Prensa Católica, 1950.",,,,,,,,Miguel con cadena
279,Historia Eclesiástica,Francisco Estanislao Goyena y Odaly,Rollo,,,Miguel con cruz - estandarte,Miguel con cruz - estandarte,Miguel con cruz - estandarte,Miguel con cruz - estandarte,Miguel con cruz - estandarte,Yavi,Yavi,,,Iglesia del sagrario - Ex convento santo Domingo (Zacatecas),,,,,,,,,,Miguel con cruz - estandarte
280,Historia medieval,Francisco Javier Cortés,,Dosel,,Miguel con escudo,Miguel con escudo,Miguel con escudo,Miguel con escudo,Miguel con escudo,Paraná,Paraná,,,Igreja sao Jose (Ouro Preto),,"CURIEL, Gustavo, Fausto Ramírez, Antonio Rubial y Angélica Velázquez. Pintura y vida cotidiana en México: siglos XVII-XX. México: Fomento Cultural Banamex, 2002.",,,,,,,,Miguel con escudo
281,Historia moderna,Francisco Javier de Cuenca,,Bandera,,Miguel con lanza,Miguel con lanza,Miguel con lanza,Miguel con lanza,Miguel con lanza,Tilcara,Tilcara,,,Iglesia conventual Inmaculada Concepción (Ozumba),,,,,,,,,,Miguel con lanza
282,Historia norteamericana,Francisco Javier de la Rosa,,,,Miguel con palma,Miguel con palma,Miguel con palma,Miguel con palma,Miguel con palma,Azcapotzalco,Azcapotzalco,,,Hotel Hacienda Jurica (Querétaro),,"PREJA DÍEZ-CANESCO, Alfredo. Vida y leyenda de Miguel de Santiago. México D.F.: Fondo de Cultura Económica, 1952.",,,,,,,,Miguel con palma
283,Historia universal,Francisco Javier de Santander,,Ciervo ,,Miguel con rollo,Miguel con rollo,Miguel con rollo,Miguel con rollo,Miguel con rollo,Tegucigalpa,Tegucigalpa,,,Iglesia san Sebastián mártir (Puebla),,"Álbum de las pinturas que representan el nacimiento, vida, milagros, santidad y último trance de nuestro seráfico padre San Francisco. Zurich: Moulinette, 1971.",,,,,,,,Miguel con rollo
284,Historias del Pentateuco,Francisco Javier Salazar,,,,Otras representaciones,Otras representaciones,Otras representaciones,Otras representaciones,Otras representaciones,Esquipulas,Esquipulas,,,Iglesia San Pablo Apóstol (Axochiapan),,,,,,,,,,Otras representaciones
285,Hombres Indígenas,Francisco José de Lerma y Villegas,,Cíngulo,,Miguel con brazo abierto,Miguel con brazo abierto,Miguel con brazo abierto,Miguel con brazo abierto,Miguel con brazo abierto,Brasília,Brasília,,,Santuario de la Santa Veracruz (Taxco),,,,,,,,,,Miguel con brazo abierto
