id,artwork_id,description_id,nombre
58497,79,291,Apóstoles 
58498,79,20,Carmelita
58499,79,245,Monjas 
58500,79,245,Monjas 
58504,79,99,Órdenes religiosas
132087,79,289,Hábito
144188,79,163,Túnica
146553,79,242,Velo
15790,80,163,Túnica
58507,81,20,Carmelita
58514,81,245,Monjas 
58515,81,245,Monjas 
58520,81,99,Órdenes religiosas
58521,81,10,Ángeles / querubines
58522,81,10,Ángeles / querubines
58526,81,129,Visión
132088,81,289,Hábito
144189,81,163,Túnica
146554,81,242,Velo
5938,82,10,Ángeles / querubines
58527,83,10,Ángeles / querubines
58528,83,10,Ángeles / querubines
58529,83,20,Carmelita
58537,83,245,Monjas 
58538,83,245,Monjas 
58543,83,99,Órdenes religiosas
58544,83,10,Ángeles / querubines
58545,83,10,Ángeles / querubines
58549,83,129,Visión
144190,83,163,Túnica
146555,83,242,Velo
58550,84,20,Carmelita
58555,84,245,Monjas 
58556,84,245,Monjas 
58561,84,99,Órdenes religiosas
58562,84,10,Ángeles / querubines
58563,84,10,Ángeles / querubines
58566,84,129,Visión
132089,84,289,Hábito
144191,84,163,Túnica
146556,84,242,Velo
17,85,11,Armadura / yelmo
6418,85,10,Ángeles / querubines
124697,85,11,Armadura / yelmo
134284,85,477,Lanza
8130,85,429,Tintero y pluma
142834,85,429,Tintero y pluma
58586,86,10,Ángeles / querubines
58587,86,10,Ángeles / querubines
58588,86,20,Carmelita
58594,86,245,Monjas 
58595,86,245,Monjas 
58599,86,99,Órdenes religiosas
58600,86,100,Paisaje
58601,86,10,Ángeles / querubines
58602,86,10,Ángeles / querubines
58605,86,129,Visión
136798,86,100,Paisaje
132090,86,289,Hábito
146557,86,242,Velo
3787,87,11,Armadura / yelmo
3789,87,120,Sol y luna
5187,87,429,Tintero y pluma
142835,87,429,Tintero y pluma
58607,88,20,Carmelita
58613,88,245,Monjas 
58614,88,245,Monjas 
58619,88,99,Órdenes religiosas
58623,88,129,Visión
132091,88,289,Hábito
144192,88,163,Túnica
146558,88,242,Velo
89312,89,10,Ángeles / querubines
3081,90,11,Armadura / yelmo
3085,90,120,Sol y luna
3087,90,10,Ángeles / querubines
124698,90,11,Armadura / yelmo
125132,90,281,Bandera
58625,91,342,Bebé
58626,91,20,Carmelita
58628,91,85,Milagro
58629,91,245,Monjas 
58630,91,245,Monjas 
58634,91,99,Órdenes religiosas
125467,91,342,Bebé
136678,91,95,Oración
132092,91,289,Hábito
58637,92,342,Bebé
58638,92,20,Carmelita
58640,92,85,Milagro
58641,92,245,Monjas 
58642,92,245,Monjas 
58646,92,99,Órdenes religiosas
125468,92,342,Bebé
132093,92,289,Hábito
146559,92,242,Velo
89316,93,10,Ángeles / querubines
58649,94,10,Ángeles / querubines
58650,94,10,Ángeles / querubines
58651,94,20,Carmelita
58654,94,132,Coronación
58659,94,245,Monjas 
58660,94,245,Monjas 
58664,94,99,Órdenes religiosas
58665,94,100,Paisaje
58666,94,10,Ángeles / querubines
58667,94,10,Ángeles / querubines
136799,94,100,Paisaje
132094,94,289,Hábito
146450,94,697,Violín
89308,95,10,Ángeles / querubines
58670,96,10,Ángeles / querubines
58671,96,10,Ángeles / querubines
58673,96,132,Coronación
58677,96,245,Monjas 
58678,96,245,Monjas 
58682,96,99,Órdenes religiosas
58683,96,10,Ángeles / querubines
58684,96,10,Ángeles / querubines
132095,96,289,Hábito
146560,96,242,Velo
58687,97,10,Ángeles / querubines
58688,97,10,Ángeles / querubines
58689,97,20,Carmelita
58691,97,132,Coronación
58695,97,245,Monjas 
58696,97,245,Monjas 
58700,97,99,Órdenes religiosas
58701,97,100,Paisaje
136800,97,100,Paisaje
132096,97,289,Hábito
144193,97,163,Túnica
146561,97,242,Velo
7118,98,163,Túnica
138227,98,693,Peces 
58704,99,10,Ángeles / querubines
58705,99,10,Ángeles / querubines
58709,99,57,Éxtasis
58710,99,202,Imagen en la imagen
58711,99,245,Monjas 
58712,99,245,Monjas 
58715,99,346,Obispo / arzobispo
58717,99,99,Órdenes religiosas
132097,99,289,Hábito
133853,99,202,Imagen en la imagen
144194,99,163,Túnica
146562,99,242,Velo
17809,100,163,Túnica
17810,100,164,Desnudo
17811,100,11,Armadura / yelmo
104366,100,3,Alegoría
104413,100,678,Flechas
127838,100,11,Armadura / yelmo
58722,101,20,Carmelita
58724,101,57,Éxtasis
58727,101,202,Imagen en la imagen
58728,101,245,Monjas 
58729,101,245,Monjas 
58732,101,346,Obispo / arzobispo
58734,101,99,Órdenes religiosas
126185,101,161,Brocados (flores o dorados) 
132098,101,289,Hábito
133854,101,202,Imagen en la imagen
144195,101,163,Túnica
146563,101,242,Velo
58739,102,20,Carmelita
58743,102,57,Éxtasis
58746,102,245,Monjas 
58747,102,245,Monjas 
58750,102,346,Obispo / arzobispo
58752,102,99,Órdenes religiosas
126186,102,161,Brocados (flores o dorados) 
132099,102,289,Hábito
144196,102,163,Túnica
144197,102,163,Túnica
146564,102,242,Velo
7121,103,163,Túnica
134285,103,477,Lanza
138228,103,693,Peces 
58755,104,10,Ángeles / querubines
58756,104,10,Ángeles / querubines
58760,104,245,Monjas 
58761,104,245,Monjas 
58762,104,448,Monjes
58765,104,100,Paisaje
136801,104,100,Paisaje
132100,104,289,Hábito
144198,104,163,Túnica
146565,104,242,Velo
24514,105,10,Ángeles / querubines
24516,105,10,Ángeles / querubines
134286,105,477,Lanza
58769,106,20,Carmelita
58771,106,245,Monjas 
58772,106,245,Monjas 
58773,106,448,Monjes
58777,106,99,Órdenes religiosas
132101,106,289,Hábito
144199,106,163,Túnica
146566,106,242,Velo
136594,107,448,Monjes
58782,107,245,Monjas 
58783,107,245,Monjas 
58784,107,448,Monjes
58788,107,99,Órdenes religiosas
58789,107,100,Paisaje
136802,107,100,Paisaje
132102,107,289,Hábito
144200,107,163,Túnica
146567,107,242,Velo
15831,108,10,Ángeles / querubines
15832,108,10,Ángeles / querubines
15833,108,11,Armadura / yelmo
15835,108,120,Sol y luna
125133,108,281,Bandera
58793,109,20,Carmelita
58798,109,245,Monjas 
58799,109,245,Monjas 
58800,109,448,Monjes
58804,109,99,Órdenes religiosas
58805,109,100,Paisaje
136803,109,100,Paisaje
132103,109,289,Hábito
146568,109,242,Velo
4743,110,11,Armadura / yelmo
4745,110,120,Sol y luna
4746,110,10,Ángeles / querubines
58808,111,10,Ángeles / querubines
58809,111,10,Ángeles / querubines
58810,111,20,Carmelita
58812,111,245,Monjas 
58813,111,245,Monjas 
58817,111,99,Órdenes religiosas
58818,111,100,Paisaje
136804,111,100,Paisaje
132104,111,289,Hábito
144201,111,163,Túnica
146569,111,242,Velo
58821,112,10,Ángeles / querubines
58822,112,10,Ángeles / querubines
58823,112,20,Carmelita
58824,112,245,Monjas 
58825,112,245,Monjas 
58829,112,99,Órdenes religiosas
136805,112,100,Paisaje
132105,112,289,Hábito
144202,112,163,Túnica
146570,112,242,Velo
23109,113,10,Ángeles / querubines
23112,113,10,Ángeles / querubines
23113,113,120,Sol y luna
58832,114,20,Carmelita
58837,114,245,Monjas 
58838,114,245,Monjas 
58839,114,448,Monjes
58843,114,99,Órdenes religiosas
136679,114,95,Oración
132106,114,289,Hábito
144203,114,163,Túnica
146571,114,242,Velo
58897,115,10,Ángeles / querubines
58898,115,10,Ángeles / querubines
58899,115,20,Carmelita
58904,115,245,Monjas 
58905,115,245,Monjas 
58909,115,99,Órdenes religiosas
58910,115,108,Purgatorio
132107,115,289,Hábito
144204,115,163,Túnica
146572,115,242,Velo
69995,116,10,Ángeles / querubines
69997,116,132,Coronación
69998,116,10,Ángeles / querubines
18666,117,150,Naturaleza
18668,117,163,Túnica
18670,117,338,Escritura
58913,118,20,Carmelita
58914,118,338,Escritura
58915,118,338,Escritura
58917,118,245,Monjas 
58918,118,245,Monjas 
58922,118,99,Órdenes religiosas
130411,118,515,Documento
132108,118,289,Hábito
135471,118,84,Mesa
142418,118,429,Tintero y pluma
51356,118,429,Tintero y pluma
142836,118,429,Tintero y pluma
144205,118,163,Túnica
146573,118,242,Velo
89319,120,10,Ángeles / querubines
89320,120,10,Ángeles / querubines
58925,121,10,Ángeles / querubines
58926,121,10,Ángeles / querubines
58927,121,20,Carmelita
58932,121,245,Monjas 
58933,121,245,Monjas 
58934,121,90,Muerte / sepulcro
58938,121,99,Órdenes religiosas
58939,121,10,Ángeles / querubines
58940,121,10,Ángeles / querubines
127042,121,225,Cama
33854,122,85,Milagro
58943,123,10,Ángeles / querubines
58944,123,10,Ángeles / querubines
58945,123,20,Carmelita
58949,123,245,Monjas 
58950,123,245,Monjas 
58951,123,90,Muerte / sepulcro
58955,123,99,Órdenes religiosas
127043,123,225,Cama
132109,123,289,Hábito
146574,123,242,Velo
58958,124,10,Ángeles / querubines
58959,124,10,Ángeles / querubines
58960,124,20,Carmelita
58965,124,245,Monjas 
58966,124,245,Monjas 
58967,124,90,Muerte / sepulcro
58971,124,99,Órdenes religiosas
127044,124,225,Cama
144206,124,163,Túnica
144207,124,163,Túnica
146575,124,242,Velo
115765,125,180,Guirnalda
125842,126,525,Birrete
131338,126,447,Estola
124477,127,8,Aparición
58974,127,8,Aparición
58975,127,20,Carmelita
58977,127,245,Monjas 
58978,127,245,Monjas 
58982,127,99,Órdenes religiosas
132110,127,289,Hábito
136420,127,85,Milagro
144208,127,163,Túnica
146576,127,242,Velo
21252,128,10,Ángeles / querubines
21253,128,35,Cortinaje
21254,128,58,Familia
21256,128,84,Mesa
21258,128,225,Cama
21259,128,342,Bebé
21260,128,355,Tapete / tapiz
131479,128,58,Familia
134002,128,708,Jarra
89225,130,10,Ángeles / querubines
89226,130,10,Ángeles / querubines
203,131,82,Matrimonio
87264,131,82,Matrimonio
93469,133,536,Camino 
139965,133,364,Sombrero
124427,134,490,Antorcha
80745,134,137,Cotidianidad
80750,134,332,Reunión
80751,134,87,Monarquía
124699,134,11,Armadura / yelmo
136680,134,95,Oración
129728,134,735,Cuerda / soga  (atadura)
144209,134,163,Túnica
146577,134,242,Velo
110264,135,4,Comida
110266,135,60,Franciscanos
110268,135,572,Habitación
110269,135,85,Milagro
128730,135,4,Comida
135472,135,84,Mesa
1966,136,3,Alegoría
1967,136,10,Ángeles / querubines
1973,136,100,Paisaje
1975,136,150,Naturaleza
1976,136,163,Túnica
133761,136,254,Herramientas de agricultura
36376,137,10,Ángeles / querubines
36378,137,536,Camino 
127607,137,137,Cotidianidad
139212,137,328,Río
139966,137,364,Sombrero
141347,137,216,Telas
143958,137,633,Vaca
144210,137,163,Túnica
62792,139,291,Apóstoles 
62793,139,225,Cama
70000,140,10,Ángeles / querubines
70001,140,291,Apóstoles 
70003,140,10,Ángeles / querubines
96102,141,10,Ángeles / querubines
96104,141,132,Coronación
96108,141,10,Ángeles / querubines
63320,143,291,Apóstoles 
63321,143,225,Cama
63322,143,35,Cortinaje
63323,143,121,Sueño
96111,144,132,Coronación
96115,144,10,Ángeles / querubines
6682,145,95,Oración
6685,145,163,Túnica
28393,146,370,Profeta
53653,147,338,Escritura
107660,147,363,Escribano
107661,147,338,Escritura
107662,147,84,Mesa
132111,147,289,Hábito
135473,147,84,Mesa
47864,147,429,Tintero y pluma
142837,147,429,Tintero y pluma
125902,148,156,Bordado
126187,148,161,Brocados (flores o dorados) 
141348,148,216,Telas
23819,149,163,Túnica
70006,150,10,Ángeles / querubines
70009,150,10,Ángeles / querubines
130837,150,25,Arco o marco de flores
69529,151,291,Apóstoles 
69531,151,95,Oración
18672,152,163,Túnica
70498,153,10,Ángeles / querubines
70502,153,10,Ángeles / querubines
18595,154,10,Ángeles / querubines
26213,155,216,Telas
107381,155,619,Hilo
133842,155,188,Tejer / telar / rueca y huso
61788,157,10,Ángeles / querubines
61790,157,65,Iglesia
61791,157,100,Paisaje
130927,157,42,Escapulario
7285,159,6,América
31120,160,3,Alegoría
31121,160,25,Arco o marco de flores
21860,161,163,Túnica
21861,161,291,Apóstoles 
129320,161,726,Cuchillo / daga  
86378,162,10,Ángeles / querubines
86379,162,10,Ángeles / querubines
86385,162,100,Paisaje
136806,162,100,Paisaje
111955,163,10,Ángeles / querubines
130928,163,42,Escapulario
83645,164,291,Apóstoles 
79754,165,735,Cuerda / soga  (atadura)
126617,165,186,Caída
126833,165,589,Calvario
129729,165,735,Cuerda / soga  (atadura)
589,166,108,Purgatorio
24707,167,291,Apóstoles 
24710,167,163,Túnica
24060,168,291,Apóstoles 
24063,168,163,Túnica
81264,169,35,Cortinaje
79759,170,735,Cuerda / soga  (atadura)
126618,170,186,Caída
126834,170,589,Calvario
54366,171,150,Naturaleza
83975,172,100,Paisaje
83976,172,473,Pluma
136807,172,100,Paisaje
70412,172,429,Tintero y pluma
142838,172,429,Tintero y pluma
31156,174,65,Iglesia
31157,174,245,Monjas 
89248,175,10,Ángeles / querubines
89249,175,10,Ángeles / querubines
112982,176,735,Cuerda / soga  (atadura)
129730,176,735,Cuerda / soga  (atadura)
64521,177,164,Desnudo
134850,177,749,Látigo
139967,177,364,Sombrero
69842,178,735,Cuerda / soga  (atadura)
69845,178,157,Soldados
129731,178,735,Cuerda / soga  (atadura)
78541,179,735,Cuerda / soga  (atadura)
126835,179,589,Calvario
129732,179,735,Cuerda / soga  (atadura)
89253,180,10,Ángeles / querubines
83649,182,291,Apóstoles 
60625,183,10,Ángeles / querubines
60626,183,10,Ángeles / querubines
60627,183,20,Carmelita
60629,183,245,Monjas 
60630,183,245,Monjas 
60636,183,99,Órdenes religiosas
131714,183,678,Flechas
131715,183,678,Flechas
132112,183,289,Hábito
146578,183,242,Velo
60640,184,10,Ángeles / querubines
60641,184,10,Ángeles / querubines
60643,184,245,Monjas 
60644,184,245,Monjas 
60649,184,99,Órdenes religiosas
131716,184,678,Flechas
132113,184,289,Hábito
134287,184,477,Lanza
146579,184,242,Velo
65864,185,735,Cuerda / soga  (atadura)
130370,185,43,Disciplina
79763,186,735,Cuerda / soga  (atadura)
126836,186,589,Calvario
129733,186,735,Cuerda / soga  (atadura)
136595,187,448,Monjes
63593,187,448,Monjes
63599,188,80,Mar
135077,188,80,Mar
70859,190,360,Predicación
131339,190,447,Estola
70513,191,100,Paisaje
70588,192,90,Muerte / sepulcro
136808,192,100,Paisaje
130371,192,43,Disciplina
70593,193,10,Ángeles / querubines
70595,193,90,Muerte / sepulcro
83659,194,291,Apóstoles 
83663,194,245,Monjas 
73323,195,90,Muerte / sepulcro
25431,196,245,Monjas 
25432,196,90,Muerte / sepulcro
30036,197,245,Monjas 
30029,198,245,Monjas 
30018,199,245,Monjas 
51021,200,10,Ángeles / querubines
51022,200,10,Ángeles / querubines
51025,200,245,Monjas 
51026,200,245,Monjas 
51030,200,60,Franciscanos
131340,200,447,Estola
132114,200,289,Hábito
27766,202,245,Monjas 
27768,202,99,Órdenes religiosas
27769,202,101,Papa
125626,202,145,Biblia
129321,202,726,Cuchillo / daga  
595,203,20,Carmelita
111963,203,10,Ángeles / querubines
130929,203,42,Escapulario
111967,204,10,Ángeles / querubines
79767,205,735,Cuerda / soga  (atadura)
126837,205,589,Calvario
99212,206,338,Escritura
131197,206,338,Escritura
61916,207,20,Carmelita
61919,207,245,Monjas 
61920,207,245,Monjas 
61925,207,99,Órdenes religiosas
61926,207,100,Paisaje
61927,207,10,Ángeles / querubines
61928,207,10,Ángeles / querubines
61933,207,129,Visión
136809,207,100,Paisaje
132115,207,289,Hábito
