id,Nombre,Nombre de registro
237,Puño en cintura:,N41 Puño cintura
238,Palma frente abajo inclinada:,N42 Palma frente abajo inclinada
239,"Levantar algo: exhibir, mostrar",N43 Levantar para exhibir
240,Dedos rostro:,N44 Dedos cara
241,Cargar o sostener:,N45 Cargar o sostener
242,Dedos paralelos:,N46 Dedos paralelos
243,Pulgar e indice cuerno abajo: interrogatorio juicio,N47 Pedir interrogatorio juicio
244,Mano vertical al frente: bendición,N48 Bendicion vertica copia
245,Mano vertical frente:,N49 Mano vertical frente
246,Dos manos entre mangas:,N50 dos Manos entre ropa
247,"Brazo cruzado al lado: rechazo, lucha",N51 Brazo cruzado rechazo lucha
248,Formas varias brazo al pecho:,N52 Otros brazos pecho
249,"Brazo largo al lado: detener, rechazo mundo",N53 Brazo largo detener
250,Caido brazo arriba: misericordia en la derrota,N54 Misericordia derrota
251,Protegerse con brazo:,N55 Protegerse con brazo
252,Dedos forma señalar,N56 Dedos forma señalar
253,Señalar: silencio bendecir,N57 Señalar silencio bendecir
254,Mano una sobre otra: ,N58 Mano una sobre otra
