id,artwork_id,description_id
58088,50,20
58092,50,85
58093,50,245
58094,50,245
58098,50,99
125466,50,342
136674,50,95
127041,50,225
132067,50,289
146538,50,242
58101,51,10
58102,51,10
58103,51,20
58106,51,132
58110,51,245
58111,51,245
58115,51,99
132068,51,289
144177,51,163
146539,51,242
58119,52,10
58120,52,10
58121,52,20
58129,52,202
58131,52,245
58132,52,245
58136,52,99
58141,52,346
58395,52,57
126184,52,161
132069,52,289
133850,52,202
144178,52,163
146540,52,242
58142,53,10
58143,53,10
58144,53,20
58149,53,245
58150,53,245
58151,53,448
58155,53,99
132070,53,289
144179,53,163
146541,53,242
58158,54,10
58159,54,10
58165,54,245
58166,54,245
58170,54,99
58171,54,10
58172,54,10
132071,54,289
144180,54,163
146542,54,242
58177,55,10
58178,55,10
58179,55,20
58185,55,245
58186,55,245
58190,55,99
58191,55,10
58192,55,10
132072,55,289
142416,55,429
50968,55,429
142832,55,429
146543,55,242
58198,56,10
58199,56,10
58200,56,20
58204,56,245
58205,56,245
58209,56,99
58210,56,100
136793,56,100
132073,56,289
144181,56,163
146544,56,242
58267,57,20
58268,57,338
58269,57,338
58271,57,245
58272,57,245
58276,57,99
136794,57,100
132074,57,289
135470,57,84
142417,57,429
51050,57,429
142833,57,429
144182,57,163
146545,57,242
58279,58,10
58280,58,10
58281,58,20
58288,58,245
58289,58,245
58290,58,90
58294,58,99
132075,58,289
144183,58,163
146546,58,242
58297,59,10
58298,59,10
58299,59,8
58300,59,20
58303,59,245
58304,59,245
58309,59,99
136675,59,95
132076,59,289
144184,59,163
146547,59,242
107656,60,130
58325,61,20
58328,61,245
58329,61,245
58333,61,99
58334,61,100
136795,61,100
132077,61,289
139962,61,364
58339,62,20
58344,62,245
58345,62,245
58349,62,99
58350,62,100
136796,62,100
139963,62,364
23005,63,10
23008,63,65
58354,64,10
58355,64,10
58356,64,20
58359,64,245
58360,64,245
58364,64,99
58394,64,246
129026,64,246
132078,64,289
58367,65,20
58371,65,245
58372,65,245
58376,65,99
58377,65,100
58393,65,246
129027,65,246
132079,65,289
146548,65,242
58380,66,20
58381,66,246
58384,66,245
58385,66,245
58389,66,99
58390,66,100
