id,artwork_id,artwork_symbol_id
41707,33,706
106484,33,142
131517,33,706
67458,34,50
67459,34,92
67460,34,185
67466,34,160
67467,34,664
67468,34,665
116305,34,42
53899,35,273
53900,35,102
53901,35,177
59536,36,210
104476,37,41
33,37,41
35511,37,2
35512,37,4
35514,37,418
35516,37,14
35517,37,61
35518,37,185
35522,37,54
35523,37,54
74474,38,211
74475,38,61
106979,38,142
70108,39,99
70109,39,102
70110,39,102
70111,39,102
105584,39,99
129332,39,102
56374,40,433
126021,40,81
46054,41,404
46065,41,89
86766,41,170
5171,42,2
5172,42,4
5174,42,123
5175,42,125
5177,42,185
132106,42,125
527,43,93
1355,43,61
53281,43,53
112320,43,244
127551,43,92
30512,45,117
132447,45,779
50888,46,61
50889,46,42
50890,46,74
116252,46,42
116253,46,42
50899,47,201
50900,47,404
87727,47,4
87728,47,185
118651,47,404
50903,48,125
50905,48,181
50906,48,325
50907,48,404
87731,48,4
87732,48,185
87733,48,185
50910,49,23
50911,49,81
50912,49,117
50916,49,201
50917,49,404
87737,49,4
87738,49,80
87739,49,185
87740,49,185
87745,49,185
125948,49,81
125949,49,81
50921,50,102
87747,50,185
50925,51,23
50926,51,92
50928,51,325
50929,51,201
50930,51,404
87750,51,185
87751,51,185
127486,51,92
50933,52,23
50934,52,46
50935,52,273
50936,52,93
50938,52,273
50939,52,201
87754,52,7
87755,52,177
87756,52,325
87757,52,185
111586,52,7
133693,52,448
133694,52,448
133792,52,448
87760,53,4
87761,53,230
87762,53,185
50947,54,102
50948,54,211
50949,54,142
50951,54,163
50952,54,177
50953,54,325
50954,54,124
50957,54,433
87808,54,94
87809,54,211
87810,54,185
87811,54,185
87813,54,142
108663,54,433
50961,55,22
50962,55,102
50963,55,211
50964,55,142
50966,55,163
50967,55,325
50971,55,201
50973,55,404
87815,55,4
87816,55,94
87817,55,185
87819,55,142
108664,55,433
50975,56,6
50977,56,23
87820,56,185
87821,56,185
87823,56,23
111356,56,6
51045,57,211
51047,57,177
51048,57,325
