id,Lugar,latitud,longitud,,
734,Catedral Santiago el Mayor (Guatemala),14.6415866,-90.5121544,,
1864,Catedral Santiago el Mayor (Tunja),5.5320035,-73.3610356,,
1484,Catedral Santísima Trinidad (Buenos Aires),-34.6075694,-58.3732574,,
46,Catedral santos Felipe y Santiago (Azcatpozalco),19.48075209,-99.18520425,,
717,Catedral santuario Nuestra señora de Altagracia (Higuey),18.61628574,-68.71692828,,
525,Catedral Todos los santos (Santa Fe),-31.6459721,-60.7106088,,
1312,Catedral Transfiguración del señor (Morelia),19.702423,-101.1923185,,
261,Catedral Virgen de la Asunción (Cuzco),-13.5161895,-71.9778728,,
96,Catedral Virgen de la Luz - Museo (León),21.1238899,-101.6820755,,
11,Catedral y convento San Bernardino de Siena (CdMx),19.2631138,-99.1020833,,
1434,Centro Cultural Arte Contemporaneo (Hasta 1998),19.43272357,-99.1332305,,
259,Centro Cultural de San Marcos (Lima),-12.05316348,-77.03221453,,
827,Centro cultural Metropolitano (Quito),-0.2202693329,-78.51317799,,
1874,Centro Cultural San Juan Nepomuceno (antes Instituto Magdalena),11.24385844,-74.21375264,,
1249,Centro de restauración de Tipón (Lima),-12.08740889,-77.00168979,,
1398,CESP (Toluca),19.2935469,-99.66098455,,
418,"Charleston Museum (Charleston, SC)",32.79289995,-79.93530588,,
1748,"Cincinnatti Art Museum (Cincinnatti, OH)",39.1144588,-84.4967972,,
1751,"Cincinnatti Museum Center (Cincinnatti, OH)",39.0993422,-84.5270613,,
1772,City of Kenner (Nueva Orleans),29.99052867,-90.24221531,,
1660,"Colección Aberbach (Lima, Perú)",-12.04570476,-77.03051898,,
1450,"Colección Academia Nacional de Historia (Buenos Aires, Argentina)",-34.6093027,-58.3708466,,
1076,"Colección Adrianzén (Lima, Perú)",-12.04570476,-77.03051898,,
747,"Colección Álex Ciurlizza (Lima, Perú)",-12.04570476,-77.03051898,,
392,"Colección Alfredo Armas (Caracas, Venezuela)",10.48974971,-66.88532084,,
386,"Colección Alfredo Boulton (Caracas, Venezuela)",10.48974971,-66.88532084,,
636,"Colección Alfredo Machado (Caracas, Venezuela)",10.48974971,-66.88532084,,
1179,"Colección Americo Ribeiro (São Paulo, Brasil)",-23.5504542,-46.63342267,,
